,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.7556 ± 0.0388,0.8620 ± 0.0241,0.8281 ± 0.0425,0.8441 ± 0.0267,0.6457 ± 0.0566,0.7434 ± 0.0174,0.8497 ± 0.0110,0.8267 ± 0.0178,0.8380 ± 0.0118,0.6155 ± 0.0261
random_forest,0.8523 ± 0.0153,0.8628 ± 0.0119,0.9702 ± 0.0147,0.9133 ± 0.0090,0.8333 ± 0.0186,0.8400 ± 0.0079,0.8547 ± 0.0059,0.9648 ± 0.0052,0.9064 ± 0.0045,0.7817 ± 0.0225
extra_trees,0.8550 ± 0.0167,0.8659 ± 0.0153,0.9694 ± 0.0111,0.9147 ± 0.0093,0.8356 ± 0.0219,0.8394 ± 0.0094,0.8526 ± 0.0073,0.9673 ± 0.0053,0.9063 ± 0.0053,0.7867 ± 0.0150
xgboost,0.8351 ± 0.0322,0.8728 ± 0.0169,0.9298 ± 0.0284,0.9002 ± 0.0202,0.7974 ± 0.0311,0.8057 ± 0.0175,0.8558 ± 0.0107,0.9117 ± 0.0144,0.8828 ± 0.0108,0.7266 ± 0.0310
adaboost,0.8159 ± 0.0176,0.8609 ± 0.0117,0.9190 ± 0.0240,0.8888 ± 0.0116,0.7730 ± 0.0332,0.7891 ± 0.0197,0.8437 ± 0.0089,0.9050 ± 0.0181,0.8732 ± 0.0126,0.7246 ± 0.0351
svm,0.8464 ± 0.0146,0.8549 ± 0.0079,0.9736 ± 0.0155,0.9103 ± 0.0088,0.7891 ± 0.0230,0.8286 ± 0.0143,0.8412 ± 0.0128,0.9698 ± 0.0061,0.9009 ± 0.0075,0.7298 ± 0.0267
logistic_regression,0.7225 ± 0.0271,0.9011 ± 0.0184,0.7347 ± 0.0345,0.8089 ± 0.0217,0.7725 ± 0.0340,0.6954 ± 0.0153,0.8765 ± 0.0082,0.7224 ± 0.0169,0.7920 ± 0.0119,0.7334 ± 0.0223
knn,0.8132 ± 0.0223,0.8844 ± 0.0172,0.8826 ± 0.0202,0.8833 ± 0.0140,0.7667 ± 0.0422,0.7940 ± 0.0149,0.8695 ± 0.0084,0.8747 ± 0.0138,0.8721 ± 0.0097,0.7340 ± 0.0156
gaussian_nb,0.5629 ± 0.0989,0.9193 ± 0.0292,0.5000 ± 0.1390,0.6363 ± 0.1198,0.7720 ± 0.0443,0.5551 ± 0.0814,0.9122 ± 0.0158,0.4947 ± 0.1162,0.6336 ± 0.0972,0.7390 ± 0.0149
