experiment,fold,loss,acc,f1_macro,recall_0,recall_1,recall_2,best_epoch_head,best_val_loss_head,best_epoch_ft,best_val_loss_ft
X_STATS_V2,1,0.5972550701011311,0.8636363636363636,0.8603988603988603,1.0,0.7142857142857143,0.8571428571428571,40,0.6067904799671496,11,0.4209203649375398
X_STATS_V2,2,0.4358344023877924,0.8636363636363636,0.8660256410256411,0.875,0.8571428571428571,0.8571428571428571,40,0.5380998556896791,10,0.43860719719175567
X_STATS_V2,3,0.411085074598139,0.8636363636363636,0.8591880341880342,1.0,0.625,1.0,39,0.5831113144502802,11,0.4600626109010082
X_STATS_V2,4,0.4258177172053944,0.8636363636363636,0.8666666666666667,1.0,0.75,0.8571428571428571,40,0.5640409669633639,6,0.47914436712103375
X_STATS_V2,5,0.4207381579008969,0.8181818181818182,0.8202973497091145,0.8571428571428571,0.7142857142857143,0.875,38,0.5640518584493863,17,0.3288780607409396
X_STATS_V2,6,0.4266116564924067,0.8181818181818182,0.8148148148148148,1.0,1.0,0.5,39,0.6218098311100976,10,0.4489214516292184
X_STATS_V2,7,0.5314468014098349,0.7619047619047619,0.7429292929292929,1.0,0.42857142857142855,0.8571428571428571,39,0.5581095360093198,14,0.3950874674118171
X_STATS_V2,8,0.6034562318097978,0.7142857142857143,0.7067155067155068,1.0,0.5714285714285714,0.5714285714285714,35,0.6290753564592135,10,0.5054665197760372
X_STATS_V2,9,0.46111457688467844,0.7619047619047619,0.7606837606837606,1.0,0.7142857142857143,0.5714285714285714,38,0.6027105491040117,14,0.39522758277796083
X_STATS_V2,10,0.35308112062159036,0.9523809523809523,0.9521367521367522,1.0,0.8571428571428571,1.0,39,0.5772374383473801,13,0.4275099119897616
