exp_id,seed,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,save_model_pt,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc
E11_wd_0e+00,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.4991300814426862,0.8461538461538461,0.8484848484848485,0.8422266139657445,0.8411371237458194,0.8456565656565657,1.0,0.6818181818181818,0.8636363636363636,0.84,0.8333333333333334,0.8636363636363636,0.17213382894122922,0.9324324324324325,0.9358974358974359,0.9356919108162889
E11_wd_1em07,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,1e-07,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5023109312240894,0.8615384615384616,0.8636363636363636,0.8590840711238256,0.8582539263986402,0.8622890559732664,1.0,0.7272727272727273,0.8636363636363636,0.84,0.8421052631578947,0.9047619047619048,0.17415945332598043,0.9324324324324325,0.9358974358974359,0.9356919108162889
E11_wd_3em07,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,3e-07,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5036904101188366,0.8461538461538461,0.8484848484848485,0.8422266139657445,0.8411371237458194,0.8456565656565657,1.0,0.6818181818181818,0.8636363636363636,0.84,0.8333333333333334,0.8636363636363636,0.17333046880525513,0.9324324324324325,0.9358974358974359,0.9356919108162889
E11_wd_1em06,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,1e-06,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5044800258599795,0.8461538461538461,0.8484848484848485,0.8422266139657445,0.8411371237458194,0.8456565656565657,1.0,0.6818181818181818,0.8636363636363636,0.84,0.8333333333333334,0.8636363636363636,0.1734530158542298,0.9324324324324325,0.9358974358974359,0.9356919108162889
E11_wd_3em06,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,3e-06,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5045395699831156,0.8461538461538461,0.8484848484848485,0.8422266139657445,0.8411371237458194,0.8456565656565657,1.0,0.6818181818181818,0.8636363636363636,0.84,0.8333333333333334,0.8636363636363636,0.17399748072430893,0.9324324324324325,0.9358974358974359,0.9356919108162889
E11_wd_1em05,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,1e-05,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5052041860727163,0.8615384615384616,0.8636363636363636,0.8590840711238256,0.8582539263986402,0.8622890559732664,1.0,0.7272727272727273,0.8636363636363636,0.84,0.8421052631578947,0.9047619047619048,0.17435428631064054,0.9324324324324325,0.9358974358974359,0.9356919108162889
E11_wd_3em05,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,3e-05,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5032280082886036,0.8461538461538461,0.8484848484848485,0.8422266139657445,0.8411371237458194,0.8456565656565657,1.0,0.6818181818181818,0.8636363636363636,0.84,0.8333333333333334,0.8636363636363636,0.17479269337412473,0.9324324324324325,0.9358974358974359,0.9356919108162889
E11_wd_1em04,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.505094831264936,0.8615384615384616,0.8636363636363636,0.8590840711238256,0.8582539263986402,0.8622890559732664,1.0,0.7272727272727273,0.8636363636363636,0.84,0.8421052631578947,0.9047619047619048,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
E11_wd_3em04,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0003,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.505112284880418,0.8615384615384616,0.8636363636363636,0.8590840711238256,0.8582539263986402,0.8622890559732664,1.0,0.7272727272727273,0.8636363636363636,0.84,0.8421052631578947,0.9047619047619048,0.17559548950678594,0.9324324324324325,0.9358974358974359,0.9356919108162889
E11_wd_1em03,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.4996568390956292,0.8615384615384616,0.8636363636363636,0.8590840711238256,0.8582539263986402,0.8622890559732664,1.0,0.7272727272727273,0.8636363636363636,0.84,0.8421052631578947,0.9047619047619048,0.1761749370678051,0.9324324324324325,0.9358974358974359,0.9356919108162889
E11_wd_3em03,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.003,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5067646893171164,0.8307692307692308,0.8333333333333334,0.8251455468846772,0.8237932710173512,0.8298721227621484,1.0,0.6363636363636364,0.8636363636363636,0.84,0.8235294117647058,0.8260869565217391,0.17910315237335256,0.9324324324324325,0.9358974358974359,0.9356919108162889
E11_wd_1em02,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.01,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5832795152297386,0.8153846153846154,0.8181818181818182,0.8138981791155704,0.8120607152045279,0.8218954248366014,1.0,0.7727272727272727,0.6818181818181818,0.875,0.7083333333333334,0.8823529411764706,0.18512517052727775,0.9324324324324325,0.9358974358974359,0.9356919108162889
